Path length, A* time, HPA* time 
4, 0.0334, 1.7184
3, 0.0612, 6.1908
2, 0.017, 0.2375
0, 0.0096, 0.2989
7, 0.0244, 0.8704
6, 0.0235, 1.4549
5, 0.0218, 1.2312
9, 0.0292, 0.9288
10, 0.0302, 0.3244
11, 0.034, 1.276
12, 0.034, 0.2923
15, 0.043, 0.3093
13, 0.0387, 0.3403
16, 0.0418, 1.1519
14, 0.0364, 0.2765
18, 0.0581, 1.6304
19, 0.0429, 0.2433
17, 0.0402, 0.2851
21, 0.0482, 0.3427
20, 0.0462, 0.2784
23, 0.0519, 0.2759
22, 0.0541, 1.4189
28, 0.0588, 0.2828
26, 0.0534, 0.2422
27, 0.0559, 0.3092
25, 0.0532, 0.3347
24, 0.0475, 0.1669
32, 0.0643, 0.2535
31, 0.0634, 0.6334
30, 0.0531, 0.2524
33, 0.0668, 0.398
35, 0.0673, 0.8333
34, 0.0664, 0.258
39, 0.0775, 0.2586
37, 0.075, 0.3088
36, 0.0778, 1.1653
41, 0.0844, 0.2991
44, 0.0874, 0.2976
42, 0.0836, 0.2747
43, 0.0923, 0.2961
46, 0.0841, 0.3222
48, 0.0999, 0.4204
47, 0.0894, 0.2868
50, 0.0949, 0.2554
51, 0.0998, 1.631
52, 0.0922, 1.7052
49, 0.0958, 1.9468
56, 0.103, 0.2732
54, 0.1054, 0.4478
53, 0.1, 0.277
55, 0.1322, 0.895
57, 0.113, 0.7519
59, 0.1086, 0.2888
58, 0.1053, 1.007
62, 0.1097, 0.2675
64, 0.1277, 0.2894
61, 0.1339, 0.9151
60, 0.1079, 0.243
63, 0.1101, 0.1919
66, 0.1249, 0.5024
67, 0.1578, 0.8311
68, 0.2722, 0.6872
70, 0.1243, 0.276
69, 0.1208, 0.2809
71, 0.6487, 0.3956
72, 0.1319, 1.2172
73, 0.1288, 0.2695
76, 0.1748, 0.5297
75, 0.5262, 2.181
77, 0.1386, 0.4823
78, 0.1392, 0.3765
81, 0.3416, 0.3499
80, 0.152, 0.2419
83, 0.2678, 1.1552
84, 0.1446, 0.6298
82, 0.1579, 1.6187
86, 0.1542, 0.2092
88, 0.2931, 0.3608
87, 0.4041, 0.3304
89, 0.2016, 0.3507
91, 0.2539, 0.4654
90, 0.1612, 0.3151
92, 0.333, 0.2977
96, 0.176, 0.2892
93, 0.1632, 2.1468
94, 0.1602, 0.3629
95, 0.1706, 0.2969
97, 0.1625, 0.4099
98, 0.175, 0.3547
99, 0.3371, 0.6834
100, 0.2056, 0.3185
101, 0.189, 2.1596
102, 0.182, 0.7764
103, 0.3683, 0.3011
104, 0.1749, 0.5758
105, 0.1794, 1.5507
106, 0.1794, 0.2599
108, 0.8012, 1.1276
107, 3.8754, 3.0506
110, 0.1978, 0.27
112, 0.1886, 1.5736
111, 0.5381, 0.342
109, 0.2396, 0.2494
114, 0.1928, 0.4852
113, 0.1722, 0.8358
115, 0.2308, 0.7032
119, 0.5183, 0.8908
117, 0.201, 0.2404
120, 1.2306, 1.341
118, 1.3451, 1.6778
121, 0.9587, 0.2872
124, 0.8005, 0.3917
122, 0.2088, 0.2889
125, 0.7041, 2.0626
126, 1.9407, 1.7387
127, 0.181, 0.2447
132, 1.2804, 0.316
130, 0.9179, 0.3112
129, 1.5206, 0.316
128, 1.235, 1.5226
135, 0.9953, 0.7691
133, 1.6294, 0.4608
136, 0.7059, 0.298
137, 0.3696, 1.6915
140, 0.5014, 1.4144
138, 0.2289, 0.5553
139, 0.6893, 0.9125
141, 1.4036, 0.3155
142, 0.5105, 0.6502
144, 1.8364, 0.3436
143, 0.3111, 0.3652
146, 2.0364, 0.4102
148, 2.1181, 0.5339
145, 0.3299, 0.288
147, 1.1406, 1.5084
151, 1.3761, 0.8088
149, 1.9947, 1.2535
152, 2.833, 0.7475
150, 1.48, 0.3322
155, 0.4587, 0.371
156, 2.8544, 0.7783
153, 1.673, 0.3385
154, 0.2343, 0.2571
158, 1.7272, 0.7913
157, 1.8367, 0.7829
160, 0.349, 0.3404
161, 0.9074, 1.2273
163, 2.3299, 0.5705
